"구분별","분류별","제외별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"300-399만원","응답자","음성통화 제외","2-3시간 미만","%","","19.8","14.6","20.8","20","16","17.8","18.7","17.3","17.7","18.7",
"300-399만원","응답자","음성통화 제외","3-4시간 미만","%","","","","8.2","8.4","9.8","8.2","11.2","9.6","13.6","15.7",
"300-399만원","응답자","음성통화 제외","3시간 이상","%","","18.6","","","","","","","","","",
"300-399만원","응답자","음성통화 제외","4시간이상","%","","","","9.2","11.9","11.5","11.7","9.3","12","15.7","14.8",
"300-399만원","응답자","음성통화 제외","평균","분","","106.4","89","99.4","106.8","103","98.4","99.5","103.8","115.2","120.5",
"300-399만원","응답자","음성통화/문자 제외","사례수","명","501","","","","","","","","","","",
"300-399만원","응답자","음성통화/문자 제외","30분 미만","%","17.9","","","","","","","","","","",
"300-399만원","응답자","음성통화/문자 제외","30분-1시간 미만","%","29.2","","","","","","","","","","",
"300-399만원","응답자","음성통화/문자 제외","1-2시간 미만","%","24","","","","","","","","","","",
"300-399만원","응답자","음성통화/문자 제외","2시간 이상","%","28.9","","","","","","","","","","",
"300-399만원","응답자","음성통화/문자 제외","평균","분","86","","","","","","","","","","",
"400만원 이상","전체","음성통화 제외","사례수","명","","","","","2338","2309","","","","","",
"400만원 이상","전체","음성통화 제외","1시간 미만","%","","","","","39.7","37.4","","","","","",
"400만원 이상","전체","음성통화 제외","1-2시간 미만","%","","","","","26.5","27.4","","","","","",
"400만원 이상","전체","음성통화 제외","2-3시간 미만","%","","","","","17.2","15.8","","","","","",
"400만원 이상","전체","음성통화 제외","3-4시간 미만","%","","","","","7.8","9.8","","","","","",
"400만원 이상","전체","음성통화 제외","4시간이상","%","","","","","8.7","9.6","","","","","",
"400만원 이상","전체","음성통화 제외","평균","분","","","","","89.3","92.9","","","","","",
