,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,bookImageURL
,3,3,달러구트 꿈 백화점.이미예 장편소설,지은이: 이미예,팩토리나인,2020,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,162,https://image.aladin.co.kr/product/24512/70/cover/k392630952_1.jpg
,4,4,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2021,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,130,https://image.aladin.co.kr/product/26942/84/cover/k582730818_1.jpg
,5,5,공룡 대발이 세트 - 전50권,봄이아트북스 편집부,봄이아트북스,2021,9.79E+12,,,,,129,https://bookthumb-phinf.pstatic.net/cover/179/367/17936705.jpg?type=m1&udate=20210217
중구(11020),1,1,파랑 오리,릴리아 지음,킨더랜드,2018,9.79E+12,77810,,813.7,문학 > 한국문학 > 소설,135,https://bookthumb-phinf.pstatic.net/cover/130/695/13069558.jpg?type=m1&udate=20180207
,2,2,"시선으로부터,",정세랑 (지은이),문학동네,2020,9.79E+12,,,813.7,문학 > 한국문학 > 소설,134,https://image.aladin.co.kr/product/24131/37/cover/8954672213_1.jpg
,3,3,알사탕,백희나,책읽는곰,2017,9.79E+12,77810,,813.7,문학 > 한국문학 > 소설,120,http://image.aladin.co.kr/product/10586/14/cover/k422530533_1.jpg
,4,4,수박 수영장 :안녕달 그림책,지은이: 안녕달,창비,2015,9.79E+12,77810,,813.7,문학 > 한국문학 > 소설,117,https://bookthumb-phinf.pstatic.net/cover/093/451/09345174.jpg?type=m1&udate=20180718
,5,5,고구마구마,지은이: 사이다,반달,2017,9.79E+12,77810,,813.7,문학 > 한국문학 > 소설,112,http://image.aladin.co.kr/product/10332/65/cover/8956187371_2.jpg
중랑(11070),1,1,Instruments,written by Jollystory ;illustrated by Seok Ran Kwon,Aram,[202,9.79E+12,,,740,언어 > 영어 > 영어,125,
,2,2,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2021,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,108,https://image.aladin.co.kr/product/26942/84/cover/k582730818_1.jpg
,3,3,달러구트 꿈 백화점.이미예 장편소설,지은이: 이미예,팩토리나인,2020,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,107,https://image.aladin.co.kr/product/24512/70/cover/k392630952_1.jpg
